date,Cadangan Devisa BI Menurut Jenis,Pertumbuhan PDB Harga Konstan Menurut Lapangan Usaha Sektoral (Triwulanan YoY),Total Nilai Ekspor Bulanan,Total Nilai Impor Bulanan
2003-08-31,33540.0,6.48,5023700000.0,2696200000.0
2003-09-30,34068.0,6.48,5056800000.0,2740300000.0
2003-10-31,34842.0,6.48,5057000000.0,2801700000.0
2003-11-30,35114.0,6.48,4961100000.0,2798100000.0
2003-12-31,36256.2036416,6.48,5235500000.0,2885300000.0
2004-01-31,35975.0,6.48,5043100000.0,3342900000.0
2004-02-29,36001.0,6.48,4907700000.0,3389400000.0
2004-03-31,37419.0,6.48,5086900000.0,3469700000.0
2004-04-30,37081.0,6.48,5275300000.0,3549900000.0
2004-05-31,36470.0,6.48,5590700000.0,3429100000.0
2004-06-30,34851.0,6.48,5930900000.0,3781900000.0
2004-07-31,34811.0,6.48,5968200000.0,4190700000.0
2004-08-31,34822.0,6.48,6391100000.0,4100800000.0
2004-09-30,34802.0,6.48,7240000000.0,4245500000.0
2004-10-31,35353.0,6.48,7404600000.0,4156500000.0
2004-11-30,35927.0,6.48,6119800000.0,3895300000.0
2004-12-31,36310.73390932,6.48,6626300000.0,4972800000.0
2005-01-31,36092.0,6.48,6132300000.0,4121399999.9999995
2005-02-28,36542.0,6.48,6381600000.0,4281600000.0000005
2005-03-31,36030.0,6.48,7364700000.0,5177100000.0
2005-04-30,36429.0,6.48,6790700000.0,5112500000.0
2005-05-31,34613.0,6.48,7185300000.0,4950100000.0
2005-06-30,33865.0,6.48,6894100000.0,4820700000.0
2005-07-31,32208.0,6.48,7153900000.0,4985500000.0
2005-08-31,31180.0,6.48,7274800000.0,5487600000.0
2005-09-30,30318.0,6.48,7521900000.0,4920700000.0
2005-10-31,32646.0,6.48,7951500000.0,4863500000.0
2005-11-30,33240.0,6.48,6885500000.0,4090700000.0
2005-12-31,34730.79904925,6.48,8123600000.0,4889500000.0
2006-01-31,35076.0,6.48,7558600000.0,4389000000.0
2006-02-28,35535.0,6.48,7397600000.0,4527900000.0
2006-03-31,40488.0,6.48,7495900000.0,4410100000.0
2006-04-30,42811.0,6.48,7641300000.0,4779700000.0
2006-05-31,44169.0,6.48,8369700000.000001,5097200000.0
2006-06-30,40107.0,6.48,8454100000.0,5724900000.0
2006-07-31,41125.0,6.48,8880800000.0,5425000000.0
2006-08-31,41995.0,6.48,8911200000.0,5704100000.0
2006-09-30,42352.0,6.48,8843900000.0,5647100000.0
2006-10-31,39895.0,6.48,8717100000.0,4582000000.0
2006-11-30,41579.0,6.48,8918100000.0,5810000000.0
2006-12-31,42597.040281589994,6.48,9610300000.0,4968500000.0
2007-01-31,43266.0,6.48,8322400000.0,5283500000.0
2007-02-28,45690.0,6.48,8194600000.0,4663200000.0
2007-03-31,47221.0,6.48,9064800000.0,5646600000.0
2007-04-30,49309.0,6.48,8913100000.0,5643600000.0
2007-05-31,50113.0,6.48,9807800000.0,6455400000.0
2007-06-30,50924.0,6.48,9557200000.0,6014800000.0
2007-07-31,51880.0,6.48,10039800000.0,6360500000.0
2007-08-31,51426.0,6.48,9595600000.0,6916800000.0
2007-09-30,52875.0,6.48,9515700000.0,6791100000.0
2007-10-31,54154.0,6.48,10304000000.0,6286000000.0
2007-11-30,54897.0,6.48,9844000000.0,7574100000.0
2007-12-31,56935.7440233,6.48,10942000000.0,6837800000.0
2008-01-31,55999.0,6.48,11191600000.0,9608100000.0
2008-02-29,57125.0,6.48,10545500000.0,9842900000.0
2008-03-31,58987.0,6.48,12008900000.0,10276700000.0
2008-04-30,58770.0,6.48,10921700000.0,11646600000.0
2008-05-31,57464.0,6.48,12910300000.0,11664200000.0
2008-06-30,59453.0,6.48,12818500000.0,12110500000.0
2008-07-31,60563.0,6.48,12527800000.0,12869800000.0
2008-08-31,58356.0,6.48,12466800000.0,12326200000.0
2008-09-30,57108.0,6.48,12277200000.0,11342900000.0
2008-10-31,50580.0,6.48,10789900000.0,10732500000.0
2008-11-30,50182.0,6.48,9665700000.0,9081300000.0
2008-12-31,51640.62572132,6.48,8896500000.0,7695600000.0
2009-01-31,50870.0,6.48,7280100000.0,6600600000.0
2009-02-28,50564.0,6.48,7134300000.0,5939000000.0
2009-03-31,54840.0,6.48,8614700000.0,6554100000.0
2009-04-30,56566.0,6.48,8454000000.0,6706800000.0
2009-05-31,57934.0,6.48,9208800000.0,7641300000.0
2009-06-30,57576.0,6.48,9381500000.0,7935500000.0
2009-07-31,57418.0,6.48,9684100000.0,8683300000.0
2009-08-31,57943.0,6.48,10543800000.0,9707300000.0
2009-09-30,62287.0,6.48,9842600000.0,8516600000.0
2009-10-31,64528.0,6.48,12242700000.0,9430100000.0
2009-11-30,65844.0,6.48,10775400000.0,8814700000.0
2009-12-31,66118.91796814,6.48,13348100000.0,10299900000.0
2010-01-31,69562.47,6.48,11595900000.0,9490500000.0
2010-02-28,69730.6,6.48,11166500000.0,9498100000.0
2010-03-31,71823.21,6.48,12774400000.0,10972600000.0
2010-04-30,78582.77,6.48,12035200000.0,11235800000.0
2010-05-31,74587.29,6.48,12619100000.0,9980400000.0
2010-06-30,76321.26,6.48,12330100000.0,11760000000.0
2010-07-31,78794.09,6.48,12487000000.0,12625900000.0
2010-08-31,81317.21,6.48,13726500000.0,12171600000.0
2010-09-30,86550.64,6.48,12181600000.0,9654100000.0
2010-10-31,91798.63,6.48,14399600000.0,12120000000.0
2010-11-30,92759.28,6.48,15633300000.0,13007600000.0
2010-12-31,96206.85,6.48,16829900000.000002,13146700000.0
2011-01-31,95331.56,6.48,14606200000.0,12558700000.0
2011-02-28,99618.83,6.48,14415300000.0,11749900000.0
2011-03-31,105709.08,6.48,16366000000.0,14486200000.0
2011-04-30,113814.19,6.48,16554200000.0,14888200000.0
2011-05-31,118108.84,6.48,18287400000.0,14825900000.0
2011-06-30,119654.74,6.27,18386900000.0,15072100000.0
2011-07-31,122670.95,6.27,17418500000.0,16207300000.0
2011-08-31,124637.75,6.27,18647800000.0,15075400000.0
2011-09-30,114502.0,6.01,17543400000.0,15169100000.0
2011-10-31,113962.0,6.01,16957700000.0,15533400000.0
2011-11-30,111316.0,6.01,17235500000.0,15393900000.0
2011-12-31,110123.0,5.94,17077700000.0,16475599999.999998
2012-01-31,111990.65,5.94,15568100000.0,14554600000.0
2012-02-29,112219.73,5.94,15695400000.0,14866800000.0
2012-03-31,110493.45,6.11,17251500000.0,16325700000.0
2012-04-30,116412.81,6.11,16173200000.0,16937900000.000002
2012-05-31,111527.86,6.11,16829500000.0,17036700000.0
2012-06-30,106502.0,6.21,15441500000.0,16727500000.0
2012-07-31,106558.79,6.21,16085100000.0,16354400000.0
2012-08-31,108990.19,6.21,14047000000.0,13813900000.0
2012-09-30,110172.24,5.94,15898100000.0,15348600000.0
2012-10-31,110297.16,5.94,15320000000.0,17207900000.0
2012-11-30,111285.11,5.94,16316900000.0,16935000000.0
2012-12-31,112781.22,5.87,15393900000.0,15582000000.0
2013-01-31,108780.0,5.87,15375500000.0,15450200000.0
2013-02-28,105183.0,5.87,15015600000.0,15313300000.0
2013-03-31,104800.0,5.54,15024600000.0,14887100000.0
2013-04-30,107269.0,5.54,14760900000.0,16463500000.0
2013-05-31,105149.0,5.54,16133400000.0,16660500000.0
2013-06-30,98095.0,5.59,14758800000.0,15636000000.0
2013-07-31,92671.0,5.59,15087900000.0,17417000000.0
2013-08-31,92997.0,5.59,13083700000.0,13012100000.0
2013-09-30,95675.0,5.52,14706800000.0,15509800000.0
2013-10-31,96996.0,5.52,15698300000.0,15674000000.0
2013-11-30,99960.0,5.52,15938600000.0,15149300000.0
2013-12-31,99387.0,5.58,16967800000.0,15455900000.0
2014-01-31,100651.0,5.58,14472300000.0,14916200000.0
2014-02-28,102741.0,5.58,14634100000.0,13790700000.0
2014-03-31,102592.0,5.12,15192600000.0,14523700000.0
2014-04-30,105563.0,5.12,14292500000.0,16255000000.0
2014-05-31,107048.0,5.12,14823600000.0,14770300000.0
2014-06-30,107678.0,4.94,15409500000.0,15697800000.0
2014-07-31,110542.0,4.94,14124100000.0,14081700000.0
2014-08-31,111224.0,4.94,14481600000.0,14793200000.0
2014-09-30,111164.0,4.93,15275800000.0,15546100000.0
2014-10-31,111973.0,4.93,15292800000.0,15328000000.0
2014-11-30,111144.0,4.93,13544700000.0,14041600000.0
2014-12-31,111862.0,5.05,14436300000.0,14434500000.0
2015-01-31,114250.0,5.05,13244900000.0,12612300000.0
2015-02-28,115527.0,5.05,12172800000.0,11510100000.0
2015-03-31,111554.0,4.83,13634000000.0,12608700000.0
2015-04-30,110867.0,4.83,13104600000.0,12626300000.0
2015-05-31,110771.0,4.83,12754700000.0,11613600000.0
2015-06-30,108030.0,4.74,13514100000.0,12978100000.0
2015-07-31,107553.0,4.74,11465800000.0,10081900000.0
2015-08-31,105346.0,4.74,12726000000.0,12399200000.0
2015-09-30,101720.0,4.78,12588400000.0,11558600000.0
2015-10-31,100712.0,4.78,12121700000.0,11108900000.0
2015-11-30,100240.0,4.78,11122200000.0,11519500000.0
2015-12-31,105931.0,5.15,11917100000.0,12077300000.0
2016-01-31,102134.0,5.15,10581900000.0,10467000000.0
2016-02-29,104544.0,5.15,11316700000.0,10175600000.0
2016-03-31,107543.0,4.94,11812100000.0,11301700000.0
2016-04-30,107711.0,4.94,11689700000.0,10813600000.0
2016-05-31,103591.0,4.94,11517400000.0,11140700000.0
2016-06-30,109789.0,5.21,13206100000.0,12095200000.0
2016-07-31,111409.0,5.21,9649500000.0,9017200000.0
2016-08-31,113538.0,5.21,12701700000.0,12385200000.0
2016-09-30,115671.0,5.03,12579800000.0,11297500000.0
2016-10-31,115037.0,5.03,12743700000.0,11507200000.0
2016-11-30,111466.0,5.03,13502900000.0,12669400000.0
2016-12-31,116362.0,4.94,13832400000.0,12782500000.0
2017-01-31,116890.0,4.94,13397700000.0,11973800000.0
2017-02-28,119863.0,4.94,12616000000.0,11359400000.0
2017-03-31,121806.0,5.01,14718500000.0,13283200000.0
2017-04-30,123249.0,5.01,13269700000.0,11950600000.0
2017-05-31,124953.0,5.01,14333900000.0,13772500000.0
2017-06-30,123094.0,5.01,11661400000.0,9991600000.0
2017-07-31,127759.0,5.01,13611100000.0,13889800000.0
2017-08-31,128787.0,5.01,15188000000.0,13509200000.0
2017-09-30,129402.0,5.06,14580200000.0,12788200000.0
2017-10-31,126547.0,5.06,15252600000.0,14249200000.0
2017-11-30,125967.0,5.06,15334700000.0,15113500000.0
2017-12-31,130196.0,5.19,14864500000.0,15104500000.0
2018-01-31,131980.0,5.19,14576300000.0,15309400000.0
2018-02-28,128059.0,5.19,14132400000.0,14185500000.0
2018-03-31,126003.0,5.07,15510600000.0,14463600000.0
2018-04-30,124862.0,5.07,14496200000.0,16162300000.0
2018-05-31,122914.0,5.07,16198300000.0,17662900000.0
2018-06-30,119839.0,5.27,12941700000.0,11267900000.0
2018-07-31,118312.0,5.27,16284700000.0,18297100000.0
2018-08-31,117927.0,5.27,15865100000.0,16818099999.999998
2018-09-30,114847.52,5.17,14956300000.0,14610100000.0
2018-10-31,115163.0,5.17,15909100000.0,17667600000.0
2018-11-30,117212.0,5.17,14851700000.0,16901800000.0
2018-12-31,120654.0,5.18,14290100000.0,15364000000.0
2019-01-31,120075.0,5.18,14028100000.0,15005200000.0
2019-02-28,123274.0,5.18,12788600000.0,12465100000.0
2019-03-31,124539.0,5.06,14447800000.0,13746600000.0
2019-04-30,124294.0,5.06,13068100000.0,15399100000.0
2019-05-31,120347.0,5.06,14751800000.0,14606700000.0
2019-06-30,123823.0,5.05,11763300000.0,11495400000.0
2019-07-31,125900.0,5.05,15238400000.0,15518500000.0
2019-08-31,126441.0,5.05,14262000000.0,14169400000.0
2019-09-30,124332.0,5.01,14080100000.0,14263400000.0
2019-10-31,126694.0,5.01,14881500000.0,14759100000.0
2019-11-30,126633.0,5.01,13944500000.0,15340500000.0
2019-12-31,129183.0,4.96,14428800000.0,14506800000.0
2020-01-31,131704.0,4.96,13636400000.0,14268700000.0
2020-02-29,130444.0,4.96,14042100000.0,11548100000.0
2020-03-31,120969.0,2.97,14031300000.0,13352200000.0
2020-04-30,127880.0,2.97,12159800000.0,12535200000.0
2020-05-31,130544.0,2.97,10452600000.0,8438600000.0
2020-06-30,131718.0,-5.32,12006800000.0,10760300000.0
2020-07-31,135077.0,-5.32,13689900000.0,10464300000.0
2020-08-31,137041.0,-5.32,13055300000.0,10742400000.0
2020-09-30,135153.0,-3.49,13956200000.0,11570100000.0
2020-10-31,133663.0,-3.49,14363400000.0,10786000000.0
2020-11-30,133556.0,-3.49,15258400000.0,12664400000.0
2020-12-31,135897.0,-2.17,16539599999.999998,14438400000.0
2021-01-31,138005.0,-2.17,15300200000.0,13329900000.0
2021-02-28,138787.0,-2.17,15255400000.0,13265000000.0
2021-03-31,137095.0,-0.69,18398400000.0,16787500000.0
2021-04-30,138799.0,-0.69,18474100000.0,16204300000.0
2021-05-31,136398.0,-0.69,16908000000.0,14234800000.0
2021-06-30,137093.0,7.08,18547800000.0,17218500000.0
2021-07-31,137343.0,7.08,19369600000.0,15263100000.0
2021-08-31,144784.0,7.08,21443200000.0,16678900000.000002
2021-09-30,146870.0,3.53,20618800000.0,16234100000.0
2021-10-31,145461.0,3.53,22091000000.0,16293600000.0
2021-11-30,145858.0,3.53,22845400000.0,19328200000.0
2021-12-31,144905.0,5.03,22357700000.0,21352000000.0
2022-01-31,141344.0,5.03,19143200000.0,18211100000.0
2022-02-28,141435.0,5.03,20489100000.0,16638500000.0
2022-03-31,139129.0,5.02,26586700000.0,21962400000.0
2022-04-30,135659.0,5.02,27316200000.0,19757500000.0
2022-05-31,135550.0,5.02,21493300000.0,18609300000.0
2022-06-30,136379.0,5.46,26141000000.0,21003900000.0
2022-07-31,132173.0,5.46,25473400000.0,21345000000.0
2022-08-31,132202.0,5.46,27928700000.0,22150600000.0
2022-09-30,130782.0,5.73,24764500000.0,19808300000.0
2022-10-31,130197.0,5.73,24726300000.0,19135400000.0
2022-11-30,133994.0,5.73,24059100000.0,18962100000.0
2022-12-31,137233.0,5.01,23782700000.0,19863100000.0
2023-01-31,139404.0,5.01,22320700000.0,18442900000.0
2023-02-28,140311.0,5.01,21319700000.0,15919200000.0
2023-03-31,145189.0,5.04,23413900000.0,20588100000.0
2023-04-30,144167.0,5.04,19280400000.0,15347600000.0
2023-05-31,139286.0,5.04,21706500000.0,21279600000.0
2023-06-30,137541.0,5.17,20599000000.0,17150500000.0
2023-07-31,137674.0,5.17,20861300000.0,19570300000.0
2023-08-31,137090.0,5.17,21996300000.0,18879800000.0
2023-09-30,134856.0,4.94,20744900000.0,17341600000.0
2023-10-31,133140.0,4.94,22144500000.0,18672900000.0
2023-11-30,138100.0,4.94,21995900000.0,19586500000.0
2023-12-31,146384.0,5.04,22391200000.0,19106700000.0
2024-01-31,145052.0,5.04,20493100000.0,18494500000.0
2024-02-29,144040.0,5.04,19272900000.0,18440200000.0
2024-03-31,140390.0,5.11,22537700000.0,17961100000.0
2024-04-30,136218.0,5.11,19614900000.0,16895599999.999998
2024-05-31,138973.0,5.11,22325500000.0,19399500000.0
2024-06-30,140177.0,5.05,20845100000.0,18450300000.0
2024-07-31,145414.0,5.05,22237300000.0,21736400000.0
2024-08-31,150243.0,5.05,23440300000.0,20665200000.0
2024-09-30,149922.0,5.05,22055500000.0,18824600000.0
2024-10-31,151233.0,5.05,24421600000.0,21938300000.0
2024-11-30,150243.0,5.05,23998200000.0,19631700000.0
2024-12-31,150243.0,5.05,23461000000.0,21222100000.0
