"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2018","3,893.00","4,139.00","4,141.50","3,882.00","","-5.92%"
"10/01/2018","4,138.00","4,057.00","4,157.50","4,054.00","","2.02%"
"09/01/2018","4,056.00","4,010.00","4,070.00","4,010.00","","1.20%"
"08/01/2018","4,008.00","3,926.00","4,011.50","3,918.50","","2.14%"
"07/01/2018","3,924.00","3,901.50","3,965.50","3,881.00","","0.62%"
"06/01/2018","3,900.00","3,783.00","3,924.50","3,766.50","","3.15%"
"05/01/2018","3,781.00","3,788.00","3,869.00","3,777.00","","-0.16%"
"04/01/2018","3,787.00","3,748.00","3,795.00","3,740.50","","1.09%"
"03/01/2018","3,746.00","3,742.50","3,758.50","3,729.50","","0.16%"
"02/01/2018","3,740.00","3,645.00","3,745.00","3,644.50","","2.63%"
"01/01/2018","3,644.00","3,694.00","3,694.00","3,612.00","","-1.33%"
"12/01/2017","3,693.00","3,682.50","3,701.50","3,678.50","","0.30%"
"11/01/2017","3,682.00","3,692.50","3,702.00","3,667.00","","-0.27%"
"10/01/2017","3,692.00","3,668.00","3,714.50","3,664.00","","0.68%"
"09/01/2017","3,667.00","3,632.50","3,690.50","3,577.50","","0.96%"
"08/01/2017","3,632.00","3,627.50","3,643.50","3,621.50","","0.14%"
"07/01/2017","3,627.00","3,628.50","3,652.00","3,620.00","","0.00%"
"06/01/2017","3,627.00","3,627.50","3,632.50","3,613.50","","0.03%"
"05/01/2017","3,626.00","3,629.00","3,653.50","3,617.00","","-0.06%"
"04/01/2017","3,628.00","3,628.00","3,634.00","3,607.00","","0.03%"
"03/01/2017","3,627.00","3,631.00","3,647.50","3,617.50","","-0.06%"
"02/01/2017","3,629.00","3,635.50","3,645.00","3,618.50","","-0.11%"
"01/01/2017","3,633.00","3,668.00","3,675.00","3,613.00","","-0.93%"
"12/01/2016","3,667.00","3,690.00","3,700.50","3,614.50","","-0.60%"
"11/01/2016","3,689.00","3,552.50","3,699.50","3,541.00","","3.86%"
"10/01/2016","3,552.00","3,553.00","3,561.50","3,527.00","","0.00%"
"09/01/2016","3,552.00","3,612.00","3,617.00","3,517.50","","-1.63%"
"08/01/2016","3,611.00","3,566.50","3,623.00","3,556.50","","1.29%"
"07/01/2016","3,565.00","3,597.50","3,597.50","3,558.50","","-0.86%"
"06/01/2016","3,596.00","3,719.00","3,757.00","3,578.00","","-3.26%"
"05/01/2016","3,717.00","3,589.50","3,729.00","3,577.50","","3.60%"
"04/01/2016","3,588.00","3,610.00","3,610.50","3,562.50","","-0.55%"
"03/01/2016","3,608.00","3,640.50","3,659.50","3,532.50","","-0.85%"
"02/01/2016","3,639.00","3,750.50","3,764.50","3,620.50","","-2.93%"
"01/01/2016","3,749.00","3,754.00","3,808.00","3,744.50","","-0.11%"
"12/01/2015","3,753.00","3,766.50","3,838.00","3,690.50","","-0.32%"
