"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2022","2,138.79","2,149.06","2,159.58","2,094.54","","-0.67%"
"08/01/2022","2,153.28","2,198.27","2,216.51","2,142.10","","-2.06%"
"07/01/2022","2,198.63","2,225.50","2,241.56","2,196.71","","-1.09%"
"06/01/2022","2,222.97","2,186.86","2,226.93","2,155.01","","1.73%"
"05/01/2022","2,185.09","2,199.58","2,208.28","2,142.69","","-0.37%"
"04/01/2022","2,193.22","2,265.33","2,265.60","2,179.51","","-3.21%"
"03/01/2022","2,266.00","2,277.93","2,282.61","2,241.97","","-0.46%"
"02/01/2022","2,276.51","2,250.43","2,278.79","2,246.40","","0.71%"
"01/01/2022","2,260.47","2,242.73","2,271.61","2,237.02","","0.89%"
"12/01/2021","2,240.53","2,249.10","2,268.59","2,225.91","","-0.42%"
"11/01/2021","2,249.95","2,211.60","2,252.72","2,211.19","","1.76%"
"10/01/2021","2,211.04","2,219.76","2,226.39","2,182.09","","-0.37%"
"09/01/2021","2,219.26","2,208.00","2,221.37","2,196.81","","0.52%"
"08/01/2021","2,207.86","2,238.27","2,238.86","2,206.27","","-1.33%"
"07/01/2021","2,237.70","2,243.83","2,251.16","2,225.03","","-0.31%"
"06/01/2021","2,244.57","2,242.60","2,255.21","2,215.68","","0.18%"
"05/01/2021","2,240.59","2,232.18","2,248.64","2,197.35","","0.45%"
"04/01/2021","2,230.46","2,215.67","2,246.26","2,208.45","","0.67%"
"03/01/2021","2,215.61","2,204.83","2,225.39","2,194.18","","0.78%"
"02/01/2021","2,198.45","2,181.67","2,208.66","2,147.04","","0.84%"
"01/01/2021","2,180.23","2,155.99","2,197.33","2,134.64","","1.38%"
"12/01/2020","2,150.60","2,146.25","2,181.32","2,141.05","","0.46%"
"11/01/2020","2,140.75","2,185.22","2,201.57","2,114.58","","-1.99%"
"10/01/2020","2,184.21","2,191.20","2,206.34","2,150.71","","-0.03%"
"09/01/2020","2,184.92","2,127.63","2,198.71","2,126.49","","2.79%"
"08/01/2020","2,125.70","2,091.22","2,149.80","2,082.69","","2.06%"
"07/01/2020","2,082.89","2,016.99","2,124.38","2,016.40","","3.79%"
"06/01/2020","2,006.82","2,053.38","2,057.00","1,951.65","","-1.69%"
"05/01/2020","2,041.40","2,106.28","2,145.23","2,043.01","","-2.72%"
"04/01/2020","2,098.55","2,302.86","2,336.90","2,104.84","","-8.79%"
"03/01/2020","2,300.89","2,053.07","2,342.76","2,032.63","","12.21%"
"02/01/2020","2,050.53","1,968.53","2,055.44","1,950.07","","4.21%"
"01/01/2020","1,967.74","1,993.69","2,007.21","1,956.28","","-1.26%"
"12/01/2019","1,992.94","2,005.70","2,009.86","1,986.11","","-0.58%"
"11/01/2019","2,004.52","1,995.89","2,011.91","1,988.63","","0.58%"
"10/01/2019","1,992.87","1,983.32","2,003.95","1,974.93","","0.40%"
"09/01/2019","1,984.89","1,982.10","1,994.37","1,965.32","","0.21%"
"08/01/2019","1,980.64","2,042.37","2,059.25","1,981.69","","-2.68%"
"07/01/2019","2,035.15","2,050.81","2,064.13","2,020.03","","-1.04%"
"06/01/2019","2,056.46","2,067.34","2,078.30","2,048.16","","-0.46%"
"05/01/2019","2,065.93","2,115.84","2,125.60","2,063.59","","-2.32%"
"04/01/2019","2,115.04","2,119.32","2,123.90","2,091.84","","-0.26%"
"03/01/2019","2,120.54","2,106.09","2,133.47","2,103.27","","1.01%"
"02/01/2019","2,099.42","2,081.10","2,107.33","2,059.00","","0.78%"
"01/01/2019","2,083.27","2,100.02","2,114.17","2,042.77","","-0.27%"
"12/01/2018","2,088.93","2,049.43","2,125.65","2,044.76","","1.75%"
"11/01/2018","2,053.06","2,179.36","2,185.27","2,053.97","","-5.75%"
"10/01/2018","2,178.40","2,168.49","2,212.22","2,167.75","","0.44%"
"09/01/2018","2,168.94","2,157.66","2,188.21","2,153.11","","0.65%"
"08/01/2018","2,154.98","2,118.84","2,158.69","2,104.30","","1.98%"
"07/01/2018","2,113.14","2,153.00","2,174.53","2,106.25","","-2.27%"
"06/01/2018","2,162.30","2,167.91","2,180.14","2,142.72","","-0.20%"
"05/01/2018","2,166.59","2,197.52","2,229.29","2,166.14","","-1.34%"
"04/01/2018","2,196.08","2,190.33","2,209.46","2,178.66","","0.20%"
"03/01/2018","2,191.78","2,178.16","2,197.35","2,159.34","","1.04%"
"02/01/2018","2,169.21","2,129.19","2,174.21","2,127.73","","1.98%"
"01/01/2018","2,127.12","2,080.95","2,130.66","2,055.54","","2.04%"
"12/01/2017","2,084.68","2,046.37","2,086.20","2,041.09","","1.99%"
"11/01/2017","2,043.98","2,047.51","2,059.06","2,032.93","","0.04%"
"10/01/2017","2,043.09","2,026.03","2,056.75","2,022.65","","0.92%"
"09/01/2017","2,024.50","2,024.77","2,055.47","2,009.47","","0.01%"
"08/01/2017","2,024.28","1,979.84","2,028.08","1,978.63","","2.23%"
"07/01/2017","1,980.06","1,963.60","1,982.56","1,962.21","","0.79%"
"06/01/2017","1,964.61","1,959.65","1,971.11","1,944.73","","0.44%"
"05/01/2017","1,956.01","1,933.70","1,956.30","1,927.15","","1.23%"
"04/01/2017","1,932.29","1,934.42","1,937.63","1,922.18","","-0.06%"
"03/01/2017","1,933.39","1,945.69","1,946.27","1,924.81","","-0.38%"
